#,선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
16,윤성환,삼성,12,9,0,0,0,28,28,174.1,6.71,1.91,1.14,0.305,72.7,4.28,5.36,4.78,4.8,3.03
17,해커,NC,12,7,0,0,0,26,26,160.1,5.44,1.63,0.79,0.288,75.7,3.42,6.35,4.45,4.61,2.99
18,유희관,두산,11,6,0,1,0,30,29,188.2,5.06,1.96,0.95,0.329,69.7,4.53,4.79,4.78,4.97,2.89
19,맨쉽,NC,12,4,0,0,0,21,21,112.2,6.87,2.64,0.56,0.311,71,3.67,3.78,4.08,4.09,2.79
20,임기영,KIA,8,6,0,0,0,23,19,118.1,5.55,1.37,0.68,0.331,72.3,3.65,4.25,4.07,4.19,2.79
21,브리검,Hero,10,6,0,0,0,24,24,144,6.12,1.62,1.06,0.323,70.6,4.38,4.32,4.72,4.81,2.69
22,박세웅,롯데,12,6,0,0,0,28,28,171.1,6.15,2.94,1.1,0.29,78.3,3.68,5.92,5.07,5.14,2.54
23,오간도,한화,10,5,0,0,0,19,19,110,6.05,2.45,0.65,0.308,71.1,3.93,3.31,4.45,4.58,2.25
24,백정현,삼성,8,4,0,3,0,35,14,100.2,8.4,3.22,0.98,0.336,73.2,4.38,3.01,4.51,4.34,2.25
25,송승준,롯데,11,5,0,1,1,30,22,130.1,7.8,2.83,1.31,0.298,75.8,4.21,4.22,4.91,4.77,2.2
26,류제국,LG,8,6,0,0,0,25,25,131.1,7.33,3.77,0.69,0.327,63.5,5.35,1.53,4.79,4.84,2.15
27,린드블럼,롯데,5,3,0,0,0,12,12,72.2,9.41,2.23,1.24,0.298,76.4,3.72,2.96,4.26,3.92,2.14
28,우규민,삼성,7,10,0,0,0,27,25,133,6.77,1.56,1.29,0.334,60.6,5.21,1.48,4.95,4.98,2.14
29,임찬규,LG,6,10,0,0,0,27,26,124.1,8.18,3.26,0.87,0.335,71.3,4.63,3.15,4.81,4.79,2.04
30,비야누에바,한화,5,7,0,0,0,20,20,112,5.46,1.85,0.96,0.275,65.4,4.18,3.34,4.66,4.79,1.93
31,구창모,NC,7,10,0,0,1,31,25,115,9.23,3.91,1.41,0.367,67.3,5.32,1.86,5.13,4.86,1.93
32,손승락,롯데,1,3,37,0,5,61,0,62,9,1.6,1.02,0.311,89.9,2.18,3.91,3.69,3.37,1.82
33,정우람,한화,6,4,26,0,5,56,0,59,11.9,2.9,0.76,0.304,79.4,2.75,2.85,3.26,2.69,1.81
34,로치,KT,4,15,0,0,0,28,28,165,5.4,3.33,0.98,0.334,67.4,4.69,2.66,5.28,5.48,1.81
35,윤희상,SK,6,7,0,0,0,23,22,120,6.15,2.48,1.2,0.34,63.1,6,1.52,5.13,5.22,1.8
36,다이아몬드,SK,10,7,0,0,0,24,24,134.1,3.95,2.34,0.74,0.329,72,4.42,4.26,4.88,5.22,1.77
37,장현식,NC,9,9,0,0,0,31,22,134.1,8.04,4.42,1.21,0.314,67.1,5.29,2.64,5.28,5.16,1.73
38,신재영,Hero,6,7,1,2,0,34,15,125,5.4,1.87,1.01,0.306,69.4,4.54,2.87,4.95,5.15,1.71
39,원종현,NC,3,6,0,22,0,68,0,80,7.76,2.14,0.45,0.336,63.9,4.39,2.02,3.6,3.52,1.71
40,배영수,한화,7,8,0,0,0,25,25,128,6.05,2.04,1.2,0.328,66.4,5.06,2.47,5.1,5.21,1.68
41,박종훈,SK,12,7,0,1,0,29,28,151.1,6.36,3.63,0.95,0.287,75.3,4.1,4.31,5.38,5.55,1.62
42,이상화,KT,4,3,6,4,1,70,0,66,7.77,2.18,0.55,0.337,68,3.95,2.43,3.57,3.45,1.54
43,장필준,삼성,4,8,21,3,7,56,0,67.1,10.96,3.48,0.8,0.409,72.4,4.68,1.55,3.66,3.21,1.49
44,김진성,NC,10,6,0,15,2,69,0,89.2,9.84,2.71,1.3,0.268,76.1,3.61,3.2,4.3,3.92,1.47
45,애디튼,롯데,2,7,0,0,0,15,13,70,7.71,3.21,0.9,0.351,58,5.91,0.43,4.61,4.53,1.41
46,이민호,NC,5,1,3,6,1,60,3,88.2,8.73,3.05,1.02,0.312,71.4,4.06,1.97,4.41,4.22,1.38
47,김세현,KIA,1,5,18,7,8,48,0,50,8.46,2.7,0.72,0.384,66.8,5.4,0.86,3.79,3.59,1.38
48,조상우,Hero,5,3,0,2,0,13,7,44.1,9.14,3.05,0.61,0.379,67.9,4.87,0.89,3.67,3.39,1.31
49,이재학,NC,5,7,0,0,0,28,23,119,8.85,3.1,1.66,0.35,65.4,5.67,1.04,5.53,5.35,1.31
50,한현희,Hero,5,6,5,5,2,38,13,106.2,6.67,1.43,1.18,0.278,65.3,4.47,2.07,4.92,4.99,1.3
51,김강률,두산,7,2,7,12,1,70,0,89,7.38,3.24,0.61,0.316,73.5,3.44,2.68,4.15,4.09,1.27
