#,선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
98,김사율,KT,3,3,0,2,1,19,5,34.2,7.27,2.08,1.82,0.373,59.8,7.27,-0.16,5.52,5.42,0.25
99,정성곤,KT,3,12,0,0,0,26,20,107.2,6.02,3.43,1.67,0.356,58.2,8.11,-0.84,6.12,6.22,0.23
100,최충연,삼성,3,8,0,3,0,42,6,84,7.93,5.14,1.29,0.366,63.9,7.61,-0.56,5.83,5.8,0.23
101,백인식,SK,0,0,2,2,0,11,2,18.2,4.82,2.41,0,0.273,79.2,2.41,0.96,4.11,4.49,0.23
102,고우석,LG,0,0,0,1,0,25,0,26,7.96,3.81,0.69,0.35,74.6,4.5,0.47,4.47,4.39,0.23
103,배우열,KT,0,2,0,3,0,26,0,34.1,8.65,2.36,1.84,0.421,62.1,8.65,-0.22,5.6,5.42,0.22
104,채병용,SK,6,4,0,6,3,43,0,50,7.74,2.7,1.44,0.342,58.1,6.84,-0.17,5.05,4.94,0.22
105,신재웅,SK,0,1,2,4,2,32,0,31,8.42,4.35,0.87,0.253,79.9,3.19,0.87,4.57,4.39,0.21
106,최지광,삼성,0,2,0,0,0,11,6,25,8.28,7.92,0.72,0.351,64.3,6.48,-0.16,5.69,5.65,0.21
107,임정우,LG,0,0,0,1,0,17,0,16.2,9.18,3.24,0.54,0.302,76.5,2.7,0.41,3.73,3.49,0.2
108,장시환,롯데,4,4,0,10,6,53,0,51.1,9.99,5.44,1.05,0.326,73.7,4.38,0.63,4.9,4.61,0.19
109,이민우,KIA,1,1,0,0,0,4,2,12.2,6.39,0,1.42,0.293,90.2,2.84,0.47,4.6,4.6,0.18
110,박세진,KT,0,2,0,0,0,4,3,11.1,6.35,4.76,0,0.4,50,9.53,-0.13,4.44,4.67,0.18
111,김정인,Hero,0,0,0,0,0,13,1,13.2,8.56,2.63,0,0.413,58.3,5.93,-0.31,2.93,2.77,0.18
112,전유수,SK,0,0,0,1,0,18,0,20.2,8.71,5.66,0.44,0.415,65.7,6.53,-0.15,4.61,4.54,0.17
113,손영민,KIA,0,1,0,4,0,15,0,13.1,6.08,2.02,2.7,0.458,57.4,10.8,-0.12,7.18,7.24,0.17
114,박지훈,KIA,1,1,0,4,0,18,0,14,6.43,5.79,0.64,0.333,56.9,7.07,-0.04,5.38,5.52,0.13
115,윤지웅,LG,1,1,1,3,0,34,3,35,5.66,2.57,1.03,0.312,69.6,3.86,0.79,4.91,5.07,0.13
116,박정배,SK,5,3,7,16,4,61,0,68,6.49,4.37,1.19,0.258,76.2,3.57,2.59,5.34,5.39,0.13
117,황수범,삼성,1,2,0,0,0,10,7,31.1,7.47,5.46,2.01,0.376,56.9,8.04,-0.67,6.99,6.97,0.12
118,양훈,Hero,2,1,0,1,0,7,2,16.1,2.76,2.76,0.55,0.371,60.8,7.16,0.12,5.2,5.74,0.12
119,전용훈,두산,0,0,0,0,0,7,0,9,6,2,0,0.355,46.2,6,-0.05,3.07,3.12,0.11
120,김주한,SK,6,5,5,11,5,63,3,69.2,5.81,4.13,1.29,0.324,64.8,5.94,0.26,5.69,5.83,0.1
121,김대유,SK,0,0,0,0,0,6,0,4.2,5.79,3.86,1.93,0.389,58.1,9.64,0.08,5.88,5.91,0.09
122,이명우,롯데,2,0,0,4,0,34,0,26.2,5.06,2.36,1.01,0.326,61.9,5.74,0.35,5.08,5.3,0.09
123,장지훈,삼성,0,0,0,0,0,4,0,2.1,19.29,3.86,0,0.5,100,0,0.09,0.73,-0.69,0.08
124,손주영,LG,0,0,0,0,0,5,0,6,7.5,1.5,0,0.316,62.5,4.5,0.06,3.07,3.08,0.08
125,임기준,KIA,0,1,1,2,0,15,4,22,4.91,6.14,0.41,0.32,80.3,3.27,0.74,5.28,5.55,0.07
126,최성훈,LG,0,0,1,3,0,32,0,22,6.55,4.5,0.82,0.311,75.3,4.09,0.34,5.37,5.55,0.07
127,송신영,한화,0,0,0,0,0,5,0,6.1,8.53,0,0,0.333,62.5,4.26,0.07,2.79,2.78,0.07
128,김진영,한화,0,0,0,0,0,3,0,2.2,13.5,6.75,0,0.556,57.1,10.12,-0.02,2.98,2.29,0.07
129,이동걸,한화,0,0,1,2,0,24,0,36.2,5.4,1.23,1.23,0.279,70.3,4.17,0.69,4.96,5.11,0.06
130,여건욱,LG,0,0,0,1,0,3,0,3.1,8.1,8.1,0,0.364,100,0,0.25,3.73,3.63,0.06
131,진명호,롯데,0,0,0,0,0,4,0,5,12.6,9,0,0.125,100,0,0.21,3.93,3.4,0.05
132,조무근,KT,0,0,0,3,0,16,0,14.2,5.52,1.84,1.23,0.345,54.1,7.36,-0.12,5.1,5.24,0.05
133,강영식,롯데,0,1,0,0,0,4,0,2.1,7.71,3.86,0,0.4,60,3.86,-0.01,3.31,3.21,0.05
134,차재용,롯데,0,0,0,0,0,3,0,2.1,7.71,0,0,0.167,100,0,0.08,2.02,1.83,0.05
135,임준혁,SK,0,0,1,2,0,43,0,45.1,5.96,5.76,0.79,0.325,74,4.57,0.62,5.34,5.54,0.04
136,이영준,Hero,1,0,0,0,0,10,0,8.1,4.32,4.32,0,0.312,68.8,5.4,0.02,4.93,5.45,0.04
137,이형범,NC,1,2,0,0,0,14,4,29.1,4.3,3.99,0.61,0.261,77.7,3.07,0.77,5.51,5.94,0.04
138,윤영삼,Hero,1,4,1,0,0,28,2,49.2,8.34,3.08,1.45,0.378,72.8,5.62,0.14,5,4.78,0.03
139,임현준,삼성,0,0,0,0,0,10,0,10.2,3.38,3.38,0,0.297,58.8,5.06,-0.04,4.67,5.22,0.03
140,김명찬,KIA,0,0,0,0,0,6,0,5,3.6,3.6,0,0.294,71.4,3.6,0.16,4.13,4.5,0.03
141,고원준,두산,0,1,0,0,0,5,3,9.1,5.79,7.71,0,0.447,56,10.61,-0.29,5.02,5.23,0.03
142,김홍빈,Hero,0,0,0,0,0,3,0,7.1,4.91,1.23,0,0.517,63.2,7.36,-0.14,4.28,4.8,0.02
143,임치영,SK,0,0,0,0,0,1,0,1,9,0,0,0.6,66.7,9,-0.02,1.73,1.4,0.02
144,장민익,두산,0,0,0,0,0,3,0,2,9,9,0,0,100,0,0.08,4.73,4.61,0.02
145,김찬호,SK,0,0,0,0,0,5,0,5.1,10.12,8.44,0,0.556,56.2,11.81,-0.18,4.86,4.76,0.02
146,박경태,KIA,0,0,0,0,0,3,0,4,6.75,6.75,0,0.389,40,9,-0.17,4.48,4.56,0.02
147,박진태,KIA,0,1,3,2,0,38,2,57.2,3.75,2.97,0.78,0.335,61.2,6.55,-0.04,5.38,5.84,0.01
148,김도영,KT,0,0,0,0,0,1,0,1,0,0,0,0.25,100,0,0.04,3.73,4.43,0
149,조근종,KT,0,0,0,0,0,1,0,2,22.5,4.5,4.5,0.833,35.7,22.5,-0.16,6.73,4.86,0
150,손동욱,Hero,0,0,0,0,0,1,0,1,9,9,0,0,100,0,0.03,4.73,4.61,0
151,임진우,두산,0,0,0,0,0,1,0,1,9,9,0,0.667,40,27,-0.11,4.73,4.61,0
152,류재인,NC,0,0,0,0,0,1,0,0.2,0,0,0,0.333,100,0,0.03,3.73,4.43,0
153,최영필,KIA,0,0,0,0,0,2,0,1.1,6.75,0,0,0.625,50,20.25,-0.13,4.48,5.06,0
154,박치국,두산,1,1,0,0,0,21,3,32,6.47,3.94,0.84,0.333,60.6,6.75,-0.12,5.39,5.58,0
155,조승수,두산,0,0,0,0,0,1,0,0,-,-,-,-,100,-,0,-,-,0
156,민태호,NC,0,0,0,0,0,7,0,8.2,7.27,3.12,1.04,0.346,66.2,6.23,0.07,5.35,5.46,-0
157,김건태,Hero,1,0,0,0,0,5,0,6,7.5,3,1.5,0.522,51.5,12,-0.31,5.23,5.11,-0
158,박상원,한화,0,0,0,1,0,18,0,21.2,5.4,2.91,1.25,0.254,73.4,4.15,0.32,5.3,5.42,-0
159,김정빈,SK,0,0,0,0,0,2,0,3,9,12,0,0.25,50,9,-0.05,5.73,5.68,-0.01
160,허건엽,SK,0,0,0,0,0,8,0,8.1,3.24,2.16,1.08,0.4,51.3,8.64,-0.2,5.29,5.64,-0.01
161,정수민,NC,1,1,0,0,0,15,1,28,9,5.14,2.25,0.32,70.7,6.75,0.29,6.81,6.57,-0.01
162,성영훈,두산,0,0,0,0,0,1,0,1,0,9,0,0,100,0,0.04,6.73,7.64,-0.01
163,고봉재,두산,0,0,0,0,0,1,0,1,0,9,0,0.5,100,0,0.04,6.73,7.64,-0.01
164,신승현,LG,0,0,0,0,0,3,0,3.2,2.45,0,0,0.1,100,0,0.18,4.01,4.66,-0.01
165,이수민,삼성,0,0,0,0,0,1,0,2.2,3.38,3.38,0,0.364,50,10.12,-0.15,5.23,5.95,-0.01
166,박종윤,Hero,0,0,0,0,0,1,0,4,4.5,9,0,0.308,62.5,6.75,-0.02,5.73,6.12,-0.02
167,강윤구,NC,2,1,0,0,0,36,5,54.2,8.4,3.95,2.3,0.281,83.6,4.45,0.78,6.62,6.43,-0.02
168,오설리반,Hero,0,2,0,0,0,3,2,8,6.75,2.25,2.25,0.469,34.9,15.75,-0.56,6.61,6.64,-0.02
169,유재유,LG,0,0,0,0,0,3,0,5,1.8,7.2,0,0.3,80,3.6,0.07,5.73,6.39,-0.03
170,이용호,두산,0,0,0,0,0,1,0,0.1,0,54,0,1,75,27,-0.04,21.73,23.71,-0.03
171,남재현,KIA,0,0,0,0,0,9,0,7.2,9.39,10.57,1.17,0.5,59.3,11.74,-0.18,6.47,6.29,-0.04
172,김해수,Hero,0,0,0,0,0,1,0,1,9,9,0,0.333,75,9,-0.02,10.73,12.37,-0.04
173,최원재,KT,1,0,0,0,0,4,0,2,9,4.5,4.5,0.714,75.8,13.5,-0.02,11.23,11.35,-0.04
174,안규현,삼성,0,0,0,0,0,1,0,2,4.5,13.5,0,0.333,66.7,9,-0.04,8.73,9.67,-0.04
175,서균,한화,0,0,0,0,0,14,0,14.1,6.28,1.88,1.26,0.333,79.2,4.4,0.25,5.41,5.58,-0.04
176,안성무,삼성,1,1,0,0,0,5,3,11.2,6.17,7.71,1.54,0.324,67.6,7.71,-0.02,7.42,7.63,-0.05
177,이충호,한화,1,1,0,1,0,21,0,11.1,6.35,9.53,2.38,0.439,56.6,13.5,-0.19,9.73,10.11,-0.05
178,안규영,두산,0,0,0,0,0,5,0,5.1,6.75,13.5,0,0.368,46.7,13.5,-0.23,6.73,6.97,-0.05
179,박희수,SK,2,6,8,9,3,48,0,38,6.87,4.5,1.89,0.339,70.7,6.63,0.37,6.52,6.57,-0.05
180,김시현,삼성,0,0,0,0,0,17,0,21.1,6.75,6.33,1.69,0.385,69.3,7.59,0.08,7.06,7.18,-0.05
181,황덕균,Hero,0,1,0,0,0,13,0,15,3,1.8,2.4,0.373,59.1,9.6,-0.32,7.33,7.78,-0.05
182,박근홍,삼성,0,0,0,1,0,24,0,15.1,8.22,8.22,1.17,0.262,47.8,9.39,-0.21,6.73,6.81,-0.05
183,박승주,Hero,0,0,1,0,0,1,0,3,0,9,0,0,75,3,0.07,7.73,8.93,-0.05
184,김태훈,SK,2,2,0,3,1,21,6,41.1,7.4,4.14,1.74,0.379,68.2,6.53,0.07,6.13,6.09,-0.06
185,김종훈,KIA,0,0,0,0,0,1,0,1,18,18,9,0.75,43.5,36,-0.16,18.73,17.6,-0.06
186,박정준,Hero,0,0,0,0,0,4,0,4.2,7.71,1.93,1.93,0.357,52.6,9.64,-0.23,6.73,6.93,-0.07
187,정동윤,SK,0,0,0,0,0,2,0,3,3,3,3,0.364,71.4,9,-0.03,9.4,10.05,-0.07
188,정동현,KIA,0,1,0,0,0,1,1,2.1,7.71,7.71,3.86,0.444,71.4,11.57,-0.1,10.16,10.07,-0.07
189,박시영,롯데,2,3,0,5,2,47,3,57,8.21,5.05,2.21,0.288,65.4,6.47,-0.38,6.73,6.57,-0.07
190,배민관,LG,0,0,0,0,0,4,0,3.2,4.91,9.82,2.45,0.417,69.8,9.82,-0.11,9.46,9.77,-0.08
191,마정길,Hero,0,0,0,0,0,7,0,10.1,6.1,3.48,2.61,0.314,47.3,10.45,-0.27,7.61,7.71,-0.08
192,유원상,LG,0,0,0,0,0,6,0,7.1,1.23,4.91,0,0.276,57.1,6.14,-0.18,5.51,6.39,-0.08
193,임대한,삼성,0,0,0,0,0,12,0,14,8.36,9.64,1.93,0.46,65.2,9,-0.26,7.88,7.8,-0.08
194,윤근영,KT,0,0,0,1,0,12,0,18,5.5,2.5,2,0.339,84.8,3.5,0.3,6.23,6.31,-0.08
195,이건욱,SK,0,0,0,0,0,2,0,1.1,6.75,20.25,6.75,0.5,35.7,33.75,-0.24,18.73,18.99,-0.09
196,강동호,롯데,2,1,0,0,0,27,0,41.1,5.66,3.48,1.74,0.276,73.8,4.79,0.49,6.08,6.18,-0.1
197,강장산,KT,0,0,0,0,0,17,0,26.1,5.47,5.13,1.03,0.296,69.4,5.47,0.54,6.16,6.46,-0.1
198,김현우,삼성,0,0,0,0,0,8,0,10.2,9.28,2.53,3.38,0.355,48.6,9.28,-0.31,7.95,7.74,-0.1
