#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
274,김재현,넥센,70,88,84,14,2,6,6,3,27,0,0.218,0.167,0.205,0.262,0.467,0.205,-0.69
275,하준호,kt,101,226,196,44,3,31,18,21,57,9,0.299,0.224,0.311,0.337,0.648,0.291,-0.72
276,박승욱,SK,73,184,158,32,3,25,11,16,57,0,0.293,0.203,0.291,0.304,0.595,0.269,-0.74
277,김상호,롯데,80,114,101,23,0,7,7,11,22,0,0.291,0.228,0.316,0.277,0.593,0.273,-0.79
278,백상원,삼성,28,51,46,6,0,4,2,3,11,0,0.167,0.13,0.18,0.13,0.31,0.151,-0.82
279,강승호,LG,85,268,248,62,5,42,31,7,67,2,0.311,0.25,0.272,0.383,0.655,0.277,-0.83
280,최재원,LG,69,159,142,33,1,20,12,8,34,3,0.291,0.232,0.282,0.296,0.578,0.26,-0.87
281,이지영,삼성,105,336,302,72,0,31,26,20,40,4,0.272,0.238,0.294,0.285,0.579,0.263,-0.9
282,이대형,kt,100,366,337,90,0,51,24,24,54,23,0.317,0.267,0.315,0.309,0.624,0.281,-1.07
283,김민식,KIA,135,391,351,78,4,39,40,26,55,3,0.252,0.222,0.284,0.293,0.577,0.261,-1.07
284,장민석,한화,88,327,299,83,1,38,21,15,58,8,0.34,0.278,0.311,0.318,0.629,0.283,-1.08
285,채은성,LG,114,372,333,89,2,28,35,17,66,5,0.327,0.267,0.323,0.339,0.662,0.298,-1.12
286,김주형,KIA,57,116,106,18,0,11,10,8,13,0,0.191,0.17,0.233,0.217,0.45,0.21,-1.2
287,이동훈,한화,67,145,131,29,0,23,2,5,15,4,0.25,0.221,0.255,0.221,0.476,0.222,-1.32
288,홍재호,KIA,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
289,황경태,두산,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
290,김찬형,NC,2,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
291,강동관,롯데,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
292,이동현(타),LG,1,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-
